schlcode	c_size	c_boys	c_girls	c_numcl	c_pik	c_status	c_leom	c_tip	c_num5rd	c_type	flgrm5	mrkgrm5	ngrm5	flmth5	mrkmth5	nmth5	towncode	townname	popcode	tip_a	grade	classid	classize	_type_	_freq_	cohsize	mathsize	avgmath	passmath	verbsize	avgverb	passverb	studchk	misskov2	missagg	nmiss_k	nmiss_a	classct	math_n	flmath_n	nmath_n	verb_n	flverb_n	nverb_n	impute	nverb_m	nmath_m	tip_s	townid	tipuach
11213	101	46	55	18	1	1	1	"1"	3	3	17	78	100	15	72	100	30007	"çâåôÖòâ"	11	7	5	2	36	0	3	101	36	75.14	13.9	36	76.83	19.4	1	0	0	1	0	3	72.49343	14.91791	67	76.11746	22.36119	67	0			7	30007	7
11213	101	46	55	18	1	1	1	"1"	3	3	17	78	100	15	72	100	30007	"çâåôÖòâ"	11	7	5	3	32	0	3	101	31	69.42	16.1	31	75.29	25.8	1	0	0	1	0	3	72.49343	14.91791	67	76.11746	22.36119	67	0			7	30007	7
11213	101	46	55	18	1	1	1	"1"	3	3	17	78	100	15	72	100	30007	"çâåôÖòâ"	11	7	5	1	33	0	3	101	33	70.99818	15.16667	33	81.82212	6.115151		1	0	1	0	3	72.49343	14.91791	67	76.11746	22.36119	67	1	33	33	7	30007	7
11217	102	53	49	23	1	2	1	"1"	3	3	28.57	70	105	29.52	62	105	36160	"çâéÉÄ Ñåíé"	11	5	5	1	31	0	3	102	34	55.09	47.1	34	67.56	26.5	1	0	0	0	0	3	61.67781	29.54381	105	69.82962	28.56476	105	0			5	36160	5
11217	102	53	49	23	1	2	1	"1"	3	3	28.57	70	105	29.52	62	105	36160	"çâéÉÄ Ñåíé"	11	5	5	2	35	0	3	102	35	65.37	25.7	35	71.17	25.7	1	0	0	0	0	3	61.67781	29.54381	105	69.82962	28.56476	105	0			5	36160	5
11217	102	53	49	23	1	2	1	"1"	3	3	28.57	70	105	29.52	62	105	36160	"çâéÉÄ Ñåíé"	11	5	5	3	36	0	3	102	36	64.31	16.7	36	70.67	33.3	1	0	0	0	0	3	61.67781	29.54381	105	69.82962	28.56476	105	0			5	36160	5
11218	107	53	54	19	1	1	1	"2"	4	3	21.11	72	90	14.13	69	92	30007	"çâåôÖòâ"	11	6	5	2	32	0	3	95	30	73.93	6.7	30	77.53	13.3	1	0	0	1	0	3	70.85	11.7	60	72.05	25	60	0			6	30007	6
11218	107	53	54	19	1	1	1	"2"	4	3	21.11	72	90	14.13	69	92	30007	"çâåôÖòâ"	11	6	5	3	31	0	3	95	30	67.77	16.7	30	66.57	36.7	1	0	0	1	0	3	70.85	11.7	60	72.05	25	60	0			6	30007	6
11218	107	53	54	19	1	1	1	"2"	4	3	21.11	72	90	14.13	69	92	30007	"çâåôÖòâ"	11	6	5	1	32	0	3	95	32	65.53125	18.68625	30	71.9	13.33		1	0	1	0	3	70.85	11.7	60	72.05	25	60	1	30	32	6	30007	6
11219	22	17	5	6	1	2	1	"0"	1	1	0	79	8	12.5	80	8	36558	"â"åâê"	11	3	5	1	22	0	1	22	8	80.25	12.5	8	79	0	1	0	0	0	0	1	80.25	12.5	8	79	0	8	0			3	36558	3
11220	138	81	57	24	1	1	1	"1"	4	4	17.89	81	123	16	73	125	30007	"çâåôÖòâ"	11	4	5	1	36	0	4	138	32	65.25	21.9	31	75.81	22.6	1	0	0	0	0	4	73.3944	15.9904	125	80.66691	17.87642	123	0			4	30007	4
11220	138	81	57	24	1	1	1	"1"	4	4	17.89	81	123	16	73	125	30007	"çâåôÖòâ"	11	4	5	2	34	0	4	138	30	75.87	13.3	30	79.23	13.3	1	0	0	0	0	4	73.3944	15.9904	125	80.66691	17.87642	123	0			4	30007	4
11220	138	81	57	24	1	1	1	"1"	4	4	17.89	81	123	16	73	125	30007	"çâåôÖòâ"	11	4	5	3	34	0	4	138	31	72.68	25.8	30	84.57	20	1	0	0	0	0	4	73.3944	15.9904	125	80.66691	17.87642	123	0			4	30007	4
11220	138	81	57	24	1	1	1	"1"	4	4	17.89	81	123	16	73	125	30007	"çâåôÖòâ"	11	4	5	4	34	0	4	138	32	79.91	3.1	32	83.06	15.6	1	0	0	0	0	4	73.3944	15.9904	125	80.66691	17.87642	123	0			4	30007	4
11221	94	56	38	19	2	1	1	"2"	2	2	20.48	78	83	17.86	75	84	30007	"çâåôÖòâ"	12	11	5	1	38	0	2	84	38	71.37	15.8	38	79.66	21.1	1	0	0	0	0	2	74.05082	16.40328	61	79.14722	16.42459	61	0			11	30007	11
11221	94	56	38	19	2	1	1	"2"	2	2	20.48	78	83	17.86	75	84	30007	"çâåôÖòâ"	12	11	5	2	46	0	2	84	23	78.48	17.4	23	78.3	8.7	1	0	0	0	0	2	74.05082	16.40328	61	79.14722	16.42459	61	0			11	30007	11
11222	75	29	46	20	2	1	1	""	3	3	21.74	75	69	25.71	67	70	30007	"çâåôÖòâ"	12	3	5	1	26	0	3	75	24	67.71	29.2	24	79.42	8.3	1	0	0	0	0	3	66.93128	25.71714	70	75.29319	21.72464	69	0			3	30007	3
11222	75	29	46	20	2	1	1	""	3	3	21.74	75	69	25.71	67	70	30007	"çâåôÖòâ"	12	3	5	2	25	0	3	75	23	67.48	17.4	23	75.83	30.4	1	0	0	0	0	3	66.93128	25.71714	70	75.29319	21.72464	69	0			3	30007	3
11222	75	29	46	20	2	1	1	""	3	3	21.74	75	69	25.71	67	70	30007	"çâåôÖòâ"	12	3	5	3	24	0	3	75	23	65.57	30.4	22	70.23	27.3	1	0	0	0	0	3	66.93128	25.71714	70	75.29319	21.72464	69	0			3	30007	3
11225	70	25	45	18	2	1	1	"1"	2	2	15.38	80	65	44.62	67	65	36509	"ÑöòîÄ"	12	2	5	1	25	0	2	70	22	74.27	31.8	22	77.23	13.6	1	0	0	1	0	2	74.27	31.8	22	77.23	13.6	22	0			2	36509	2
11225	70	25	45	18	2	1	1	"1"	2	2	15.38	80	65	44.62	67	65	36509	"ÑöòîÄ"	12	2	5	2	45	0	2	70	43	63.28046	51.17907	43	81.41721	16.2907		1	0	1	0	2	74.27	31.8	22	77.23	13.6	22	1	43	43	2	36509	2
11227	114	55	59	22	1	1	1	"1"	4	3	12.12	79	99	20.2	67	99	37309	"ÅÄÜ öíÅÇ"	11	0	5	1	33	0	3	102	31	66.71	19.4	31	81.39	6.5	1	0	0	1	0	3	67.79797	18.78125	64	79.84312	10.98594	64	0			2	37309	0
